Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.001076947216093079,-2.2350000002132666e-06,0.0010769472160930794,0.0010769472160930794,0.0010769472160930794
SQE_updated,0.0007436138827597452,-2.2350000011017326e-06,0.0007436138827597455,0.0007436138827597454,0.0007436138827597455
SQS+MVA_updated,0.0001366,0.0001366,0.0001366,0.00013659999999999999,0.0001366
SQS+SQE+MVA_updated,0.0010769472160930785,-2.2349999997433746e-06,0.0010769472160930785,0.0010769472160930785,0.0010769472160930785
SQS+SQE_updated,0.0007436138827597452,-2.2350000021311258e-06,0.0007436138827597451,0.0007436138827597451,0.0007436138827597451
SQS_updated,0.0001366,0.0001366,0.0001366,0.00013659999999999999,0.0001366
Wildtype_updated,0.0001366,0.0001366,0.0001366,0.00013659999999999999,0.0001366
