Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.007854400000000003,0.001366,0.007854400000000004,0.007854400000000003,0.007854400000000004
SQE_updated,0.007854400000000003,0.001366,0.007854400000000004,0.007854400000000003,0.007854400000000004
SQS+MVA_updated,0.0013659999999998801,0.001366,0.0013659999999998801,0.0013659999999998801,0.0013659999999998801
SQS+SQE+MVA_updated,0.007854400000000003,0.001366,0.007854400000000004,0.007854400000000003,0.007854400000000004
SQS+SQE_updated,0.007854400000000003,0.001366,0.007854400000000004,0.007854400000000003,0.007854400000000004
SQS_updated,0.001366,0.001366,0.0013659999999999998,0.0013659999999999998,0.0013659999999999998
Wildtype_updated,0.001366,0.001366,0.0013659999999999998,0.0013659999999999998,0.0013659999999999998
