F6P_pi_thi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
SK_starch300_h: Minimum = -1.6195744315894192, Maximum = -0.20457687281970008, Range = 1.414997558769719
F6PBth: Minimum = 0.0, Maximum = 380.5069868376815, Range = 380.5069868376815
FA160h: Minimum = -2.045033261657651, Maximum = 165.4880495492034, Range = 167.53308281086106
EX_ac_e: Minimum = -10.0, Maximum = 141.50206917892234, Range = 151.50206917892234
EX_rib__D_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FA1619Zh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_no2_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FA180h: Minimum = -1.088688554040841, Maximum = 0.11907558395366152, Range = 1.2077641379945026
EX_his__L_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_na1_c: Minimum = 0.0, Maximum = 9.99999999999993, Range = 9.99999999999993
FA18111Zh: Minimum = 0.33020575011602216, Maximum = 0.33020575011603953, Range = 1.73749903353837e-14
DM_na1_h: Minimum = 0.0, Maximum = 10.000000000000018, Range = 10.000000000000018
FA1819Zh: Minimum = -0.42878705121865185, Maximum = 0.6599015028218487, Range = 1.0886885540405005
DM_na1_m: Minimum = 0.0, Maximum = 10.00000000000015, Range = 10.00000000000015
DM_na1_x: Minimum = 0.0, Maximum = 10.000000000000293, Range = 10.000000000000293
FADH2th: Minimum = -997.6537485774934, Maximum = 0.0, Range = 997.6537485774934
DM_no_h: Minimum = 0.0, Maximum = 4.8583818539580306e-12, Range = 4.8583818539580306e-12
DM_o2D_u: Minimum = 0.0, Maximum = 8.28, Range = 8.28
FADth: Minimum = 0.0, Maximum = 997.6537485774988, Range = 997.6537485774988
DM_photon298_c: Minimum = 3.598268421810058, Maximum = 4.029912297216876, Range = 0.43164387540681837
DM_photon437_u: Minimum = 0.0, Maximum = 114.6008094851158, Range = 114.6008094851158
FE2th: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon438_u: Minimum = 202.125225940588, Maximum = 235.245225940588, Range = 33.120000000000005
DM_photon450_h: Minimum = 144.52650468810364, Maximum = 144.69046489181056, Range = 0.163960203706921
FE3abch: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon490_s: Minimum = 0.0, Maximum = 232.4380662289223, Range = 232.4380662289223
DM_photon646_h: Minimum = 325.6084649503375, Maximum = 325.77242515404447, Range = 0.16396020370694941
FORthi: Minimum = 0.0, Maximum = 204.6367242800235, Range = 204.6367242800235
DM_photon673_u: Minimum = 123.29140480222782, Maximum = 156.41140480222782, Range = 33.120000000000005
DM_photon680_u: Minimum = 0.0, Maximum = 166.7876556555603, Range = 166.7876556555603
EX_urea_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_udg_m: Minimum = 0.0, Maximum = 2.35045792627305e-13, Range = 2.35045792627305e-13
DM_urdglyc_m: Minimum = 0.0, Maximum = -3.378391798939608e-13, Range = -3.378391798939608e-13
1ACPCth: Minimum = -103.01473865001805, Maximum = 4.316438754067966, Range = 107.331177404086
23DHMBth: Minimum = -153.58179480117875, Maximum = 153.35386871388093, Range = 306.9356635150597
FRDPth: Minimum = -0.2272917040711738, Maximum = 0.8632877508136303, Range = 1.090579454884804
23DHMPth: Minimum = -72.63032375774686, Maximum = 8.847748214508213e-33, Range = 72.63032375774686
G1P_pi_th: Minimum = -1000.0, Maximum = 991.985169862006, Range = 1991.985169862006
2PGLYCth: Minimum = 0.0, Maximum = 4.316438754068586, Range = 4.316438754068586
2PGth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_ad_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_gua_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
3C3HMPth: Minimum = -240.2474388390342, Maximum = 0.0, Range = 240.2474388390342
EX_ade_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
G3P_pi_thr: Minimum = 0.0, Maximum = 700.5456835377012, Range = 700.5456835377012
3MOBth: Minimum = -240.24743883904344, Maximum = 153.35386871386814, Range = 393.6013075529116
G6PA_pi_th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
3PG_pi_thr: Minimum = -1000.0, Maximum = 110.76069423637003, Range = 1110.76069423637
G6PB_pi_th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
4ABUTth: Minimum = -1000.0, Maximum = 0.0, Range = 1000.0
4ABUTthi: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
EX_alltt_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5MTAth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
GALth: Minimum = -4.291303344783083, Maximum = -4.291303344781667, Range = 1.4157564010019996e-12
6PGLthr: Minimum = 2.3023445203551565e-13, Maximum = 582.6708084509996, Range = 582.6708084509994
ACCOAth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
GLNth: Minimum = -344.81269118237026, Maximum = 996.99577028833, Range = 1341.8084614707004
ACSERthi: Minimum = 0.0, Maximum = 311.0070965504656, Range = 311.0070965504656
NA1Hth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ACth: Minimum = -1000.0, Maximum = 836.6191017865964, Range = 1836.6191017865963
GLU4ABUTthi: Minimum = 0.0, Maximum = 406.7260936879805, Range = 406.7260936879805
AIRth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AKG_na_th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
AKGMALth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ALABth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AMETAMth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AMETt2h: Minimum = -0.16396020370688869, Maximum = -0.1639602037069133, Range = -2.4619195571062846e-14
NA1th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
NADHth: Minimum = -406.72609368797407, Maximum = -2.470639013288771e-14, Range = 406.72609368797407
NADPHth: Minimum = 0.0, Maximum = 406.7260936879695, Range = 406.7260936879695
NADPth: Minimum = 2.3962305612788616e-14, Maximum = 406.7260936879662, Range = 406.7260936879662
NADth: Minimum = 0.0, Maximum = 406.72609368797487, Range = 406.72609368797487
NH4th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
NO2th: Minimum = 9.999999999999924, Maximum = 12.158219377037643, Range = 2.158219377037719
AMPth: Minimum = -1.960642194005682e-13, Maximum = 2.5420956344342255e-13, Range = 4.5027378284399074e-13
ASPNA1th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ASPSAth: Minimum = -0.1118640186450771, Maximum = -0.11186401864507294, Range = 4.163336342344337e-15
O2thr: Minimum = 2.7200263594122904, Maximum = 8.125153667521097, Range = 5.405127308108806
GLUNA1th: Minimum = 0.0, Maximum = 406.7260936879701, Range = 406.7260936879701
PAPSPAPthr: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASPth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ATP_3h_th: Minimum = 0.0, Maximum = 491.096048730189, Range = 491.096048730189
PEPPIth: Minimum = 0.0, Maximum = 4.763894828648088, Range = 4.763894828648088
GLUth: Minimum = 0.0, Maximum = 406.7260936879927, Range = 406.7260936879927
PHEMEth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PHEth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
GLYC3Pth: Minimum = 0.0, Maximum = 101.79808731879757, Range = 101.79808731879757
PINA1th: Minimum = 0.0, Maximum = 395.249864816547, Range = 395.249864816547
GLYCLTth: Minimum = -4.316438754068143, Maximum = 0.0, Range = 4.316438754068143
PMTCOAth: Minimum = 0.0, Maximum = 145.27379778288287, Range = 145.27379778288287
PPAth: Minimum = 0.0, Maximum = 4.633139750191424, Range = 4.633139750191424
GLYCLTt: Minimum = -4.316438754068176, Maximum = 0.0, Range = 4.316438754068176
GLYCth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PPCOAth: Minimum = -103.33143964616119, Maximum = 0.0, Range = 103.33143964616119
PPHNth: Minimum = -0.20881283480416268, Maximum = -0.20881283480413676, Range = 2.5923707624997405e-14
PPIth: Minimum = 0.0, Maximum = 284.5296860980133, Range = 284.5296860980133
PTRCthr: Minimum = 0.0, Maximum = 0.0, Range = 0.0
GUAt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PYRth: Minimum = -125.07941966055178, Maximum = 1000.0, Range = 1125.0794196605518
GLYNA1th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
R5Pth: Minimum = -229.39543845873268, Maximum = -2.1713771773881025, Range = 227.22406128134458
RIBFLVth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SERNA1th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
H2Ot: Minimum = -40.33235409388865, Maximum = 9.999999999999998, Range = 50.33235409388865
GLYth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
H2td: Minimum = 0.0, Maximum = 86.32514280038183, Range = 86.32514280038183
SERth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
SO3t_1: Minimum = 0.11848790602115947, Maximum = 0.11848790602096433, Range = -1.9513557436567908e-13
GRDPth: Minimum = -1.0905794548847405, Maximum = 1.0905794548848557, Range = 2.1811589097695965
SQDG18111Z160th: Minimum = 0.014578139389371692, Maximum = 0.014578139389377983, Range = 6.291842047367879e-15
SQDG1819Z160th: Minimum = 0.04381623605666381, Maximum = 0.0438162360566573, Range = -6.50868248186498e-15
