ASCBOR2: Minimum = 0.0, Maximum = 19.910500568277303, Range = 19.910500568277303
ASCBOR3: Minimum = 0.0, Maximum = 9.961099429086302, Range = 9.961099429086302
ATPM_NGAM: Minimum = 2.85, Maximum = 2.85, Range = 0.0
ASAPT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PPCOAOm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BAOAT: Minimum = 0.0, Maximum = 4.72653536277454, Range = 4.72653536277454
APOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BADP: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HIDP: Minimum = 0.0, Maximum = 13.779375094373524, Range = 13.779375094373524
PAO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PBAL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HAL: Minimum = 0.0, Maximum = 13.779375094381386, Range = 13.779375094381386
DHDH: Minimum = -4.726535362769822, Maximum = 3.675283081865246e-18, Range = 4.726535362769822
DHPD: Minimum = 0.0, Maximum = 4.726535362775765, Range = 4.726535362775765
BUPN: Minimum = 0.0, Maximum = 4.726535362775793, Range = 4.726535362775793
44MZYMMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
44MZYMOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
4MZYMDM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
4MZYMR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CADMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CADS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CAS: Minimum = 0.0, Maximum = 1.7530370187350874e-13, Range = 1.7530370187350874e-13
CMS: Minimum = 0.00761575700650491, Maximum = 0.007615757007720571, Range = 1.2156603848567649e-12
CYARTMT: Minimum = 0.0, Maximum = 1.8635669217515233e-13, Range = 1.8635669217515233e-13
CYEUOLCYCI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYEUOLS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DDSMSTOLD: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DSMSTOLD: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DXRI: Minimum = 0.007615757006506967, Maximum = 0.0076157570078172225, Range = 1.3102557233635181e-12
GGDR: Minimum = 0.0, Maximum = 0.0013734731106985166, Range = 0.0013734731106985166
HDS: Minimum = 0.0076157570065069685, Maximum = 0.007615757007747621, Range = 1.2406525459751627e-12
LNS14DM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MCS: Minimum = 0.0076157570065069685, Maximum = 0.007615757007905394, Range = 1.3984256461152533e-12
MERGTROLR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MPQMT: Minimum = 0.0, Maximum = 2.495173175588439e-13, Range = 2.495173175588439e-13
SMO: Minimum = 0.0, Maximum = 1.9784183409162177e-13, Range = 1.9784183409162177e-13
4MZYMCODH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CHLSTD78I: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CHLSTI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CHLSTR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CMK: Minimum = 0.0076157570065069685, Maximum = 0.007615757007758167, Range = 1.2511987973473637e-12
DDSMSTOLR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DSMSTOLR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DXS: Minimum = 0.007615757006506967, Maximum = 0.007615757007904088, Range = 1.3971211340613188e-12
FPPS: Minimum = 0.0, Maximum = 0.0019039392520770182, Range = 0.0019039392520770182
FPPSh: Minimum = 0.0, Maximum = 0.001903939252050733, Range = 0.001903939252050733
GGPS: Minimum = 0.001903939251626743, Maximum = 0.001903954545167149, Range = 1.5293540406085757e-08
GPPS: Minimum = 0.0, Maximum = 0.001903923712081083, Range = 0.001903923712081083
GPPSh: Minimum = 0.0, Maximum = 0.0019039237120717185, Range = 0.0019039237120717185
HPT: Minimum = 0.0, Maximum = -3.823303127893825e-08, Range = -3.823303127893825e-08
IDI: Minimum = 0.0, Maximum = 0.0019039237120826358, Range = 0.0019039237120826358
IDIh: Minimum = 0.0, Maximum = 0.0019039237121064514, Range = 0.0019039237121064514
IDS1: Minimum = 0.005711817754881638, Maximum = 0.007615763914474023, Range = 0.0019039461595923846
IDS2: Minimum = 0.0, Maximum = 0.0019039237120917984, Range = 0.0019039237120917984
LTHSTRLOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
OBFOOLOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PSPPS: Minimum = 0.0, Maximum = -3.4533050934980224e-08, Range = -3.4533050934980224e-08
SS: Minimum = 0.0, Maximum = -3.453305093494726e-08, Range = -3.453305093494726e-08
TCYD: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TCYG: Minimum = 0.0, Maximum = -3.8233010813430825e-08, Range = -3.8233010813430825e-08
TMTB: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TMTD: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TMTG: Minimum = 0.0, Maximum = 0.0, Range = 0.0
VITD3S: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ZYMSTR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HST: Minimum = 0.0, Maximum = -2.0198607524239648e-08, Range = -2.0198607524239648e-08
MSBQMT: Minimum = 0.0, Maximum = -2.0198589369218905e-08, Range = -2.0198589369218905e-08
3OACOAR: Minimum = -3.865012862418037e-18, Maximum = 0.010117252759614977, Range = 0.01011725275961498
3OACOAS: Minimum = 0.0, Maximum = 0.010117252759606536, Range = 0.010117252759606536
COA1819ZD9DS: Minimum = 0.0, Maximum = 0.009119772218756985, Range = 0.009119772218756985
ECOAH8: Minimum = 0.0, Maximum = 0.01011725275960654, Range = 0.01011725275960654
ECOAR: Minimum = 0.0, Maximum = 0.01011725275960654, Range = 0.01011725275960654
FACOAE160: Minimum = 0.0, Maximum = 6.8976967675917855, Range = 6.8976967675917855
FACOAE180: Minimum = 0.0, Maximum = 0.010117252759443503, Range = 0.010117252759443503
FACOAE1819Z: Minimum = 0.0, Maximum = 6.893278021588905, Range = 6.893278021588905
FACOAE1829Z12Z: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FACOAE1836Z9Z12Z: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FACOAE1839Z12Z15Z: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LNLCCOAOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AMAOTr: Minimum = 1.031502737376456e-07, Maximum = 1.0315021936755828e-07, Range = -5.437008731350667e-14
MALCOAMT: Minimum = 1.031502737376456e-07, Maximum = 1.0315021936755857e-07, Range = -5.437008702233909e-14
OGMEACPS: Minimum = 1.031502737376456e-07, Maximum = 1.0315021936755857e-07, Range = -5.437008702233909e-14
