Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.036767200000000076,0.001366,0.036767200000000076,0.03676720000000008,0.036767200000000076
SQE_updated,0.008666666666666623,0.0,0.008666666666666625,0.008666666666666625,0.008666666666666625
SQS+MVA_updated,0.0013660000000000247,0.001366,0.0013660000000000252,0.0013660000000000247,0.0013660000000000252
SQS+SQE+MVA_updated,0.03676720000000008,0.001366,0.03676720000000007,0.036767200000000076,0.03676720000000007
SQS+SQE_updated,0.008666666666666663,-1.030603637119662e-16,0.008666666666666673,0.008666666666666673,0.008666666666666673
SQS_updated,0.0013660000000000334,0.001366,0.0013660000000000332,0.001366000000000033,0.0013660000000000332
Wildtype_updated,0.0013659999999999792,0.001366,0.001365999999999979,0.001365999999999979,0.001365999999999979
