Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.03676720000000007,0.001366,0.03676720000000007,0.036767200000000076,0.03676720000000007
SQE_updated,0.002323333333333312,-2.731553033127936e-17,0.002323333333333312,0.002323333333333312,0.002323333333333312
SQS+MVA_updated,0.0013660000000000247,0.001366,0.0013660000000000252,0.0013660000000000247,0.0013660000000000252
SQS+SQE+MVA_updated,0.03676720000000006,0.001366,0.03676720000000006,0.03676720000000006,0.03676720000000006
SQS+SQE_updated,0.002323333333333332,-1.2423289457280455e-16,0.002323333333333335,0.0023233333333333352,0.002323333333333335
SQS_updated,0.0013660000000000334,0.001366,0.0013660000000000332,0.001366000000000033,0.0013660000000000332
Wildtype_updated,0.0013659999999999792,0.001366,0.001365999999999979,0.001365999999999979,0.001365999999999979
