Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.0007854399999989875,0.0001366,0.0007854399999989875,0.0007854399999989873,0.0007854399999989875
SQE_updated,0.0007436138827597455,9.477388275974343e-05,0.0007436138827597457,0.0007436138827597456,0.0007436138827597457
SQS+MVA_updated,0.0001366,0.0001366,0.0001366,0.00013659999999999999,0.0001366
SQS+SQE+MVA_updated,0.0007854399999994989,0.0001366,0.0007854399999994988,0.0007854399999994987,0.0007854399999994988
SQS+SQE_updated,0.0007436138827597451,9.477388275908607e-05,0.0007436138827597451,0.0007436138827597451,0.0007436138827597451
SQS_updated,0.0001366,0.0001366,0.0001366,0.00013659999999999999,0.0001366
Wildtype_updated,0.0001366,0.0001366,0.0001366,0.00013659999999999999,0.0001366
