,fluxes
PE1801835Z9Z12Zt,0.0
PE1801845Z9Z12Z15Zt,0.0
PE18111Z1819Zt,0.0
ALLTNti,0.0
ALLTTti,0.0
MANth,-2.0216806868749257
ARGt5r,0.0
PE18111Z1829Z12Zt,0.0
PE18111Z1835Z9Z12Zt,0.0
PE18111Z1845Z9Z12Z15Zt,0.0
PE1819Z1819Zt,0.0
PE1819Z1829Z12Zt,0.0
CITALt,0.0
METHFth,0.0
PE1819Z1835Z9Z12Zt,0.0
PE1819Z1845Z9Z12Z15Zt,0.0
MG2th,0.16396020370691342
PE1829Z12Z1835Z9Z12Zt,0.0
PG18111Z160t,0.0
CO2t,-61.05475066044562
D_LACt2,0.0
NA1ATPaseh,6.067416726106494
ETOHt,-42.59413717358407
FE2GTPabc,0.0
FE3t,0.0
FEROt,0.0
PG1819Z160t,0.0
PGP18111Z160t,0.0
PGP1819Z160t,0.0
GLNt,0.0
PIt2r,6.342454042070893
FORt2,-58.649576954351964
2PGtm,0.0
TEGAt,0.0
TGUAt,0.0
TSULt,0.0
RIBt,0.0
SELTt,0.0
SO4NA1t,0.11848790602129433
URATEt_1,0.0
34HPPt2m,0.0
UREAt_1,0.0
ACCOAts,6.3898066612254045e-06
ACts,-6.3898066612254045e-06
SO4t2,0.0
SUCCt,0.0
UDPtg,0.0
COAts,-6.389806661225405e-06
H2Ots,0.0
3MOPtm,0.0
HDCAts,0.0
Hts,6.389806661225405e-06
NADHts,-1.358743740349935e-21
NADPHts,0.0
NADPts,0.0
NADts,1.358743740349935e-21
PMTCOAts,0.0
1ACPCtm,0.18498888200883573
23DHMBtm,0.0
2DHPtm,0.0
RETINALts,6.3898066612254045e-06
4ABUTtm,0.0
NADPHtf,0.0
NADPtf,0.0
MALICITtm,0.0
4ABUTtmi,0.0
MALOAAtm,-91.70273853277827
METHFtm,0.0
OAAtf,0.0
FDPtf,0.0
H2Otf,0.0
METtm,0.069517216120238
4MOPtm,0.0
MLTHFtm_1,-0.01342004736197345
PItf,0.0
PYRtf,0.0
2PGLYCtx,0.0
NA1ATPasem,0.0
NA1Htm,0.0
3PGtx,0.0
5FTHFtm,0.0
ACCOAtx,0.0
NA1tm,0.0
NADHtm,0.0
NADtm,7.193877284463865e-15
NH4tm_1,3.4441333074627494
O2tm,4.316438754068137
ASNtx,0.0
ASPtx,0.0
CITx,-1.1045632473142153e-15
CO2tp,0.0
COA_h_tx,0.0
OAAAKGtm,-5.97882765474008
OAACITtm,-12.159466706964025
FA160COAabcp_1,1.104563247314215e-15
5MTAtm,0.0
FA40COAabcp,0.0
FORtxi,0.0
OAAICITtm,0.0
ORNtm,0.9247425541326056
ACACtm,0.0
GLXtp,1.104563247314215e-15
H2Otp,5.5228162365710764e-15
PHEMEtm,0.0
ACCOAtm,0.0
PIcm,0.0
PINA1tm,0.0
NADH_h_tx,-4.4182529892568605e-15
NADtx,-7.008711901345238e-15
ACSERtmi,0.0
PIt2m,28.846113182584126
PMTCOAtm,2.254977816423456
NH4tp,0.0
ACtm,0.0
PNTORtm,0.0
ADNtm,9.545554978598376e-17
PPAtm,-0.18498888200883265
PPCOAtm,0.0
AKG_na_tm,-9.505416853567839
PRONA1tm,0.0
PROtm_1,0.0
PTRCtmi,0.0
O2tp,0.0
PIt2p,0.0
10FTHFtx,0.0
PYRtm,61.00441496538736
AKGCITtm,0.0
SELTtm,0.0
ACACtx,0.0
SERNA1tm,0.0
AKGICITtm,0.0
BALAtmr,0.0
SERt2m,2.11022876594357
ACALDtx,-2.8239357425030066e-15
SO4NA1tm,0.0
ALANA1tm,9.50541685356784
SPMDtmi,0.0
SPMDtmr,0.0
ALANA1tx,0.0
ALAtx,0.0
SUCFUMtm,-2.3462514225021525
ALAtm,-9.505416853567837
