,fluxes
PE1819Z1829Z12Zt,0.0
CITALt,0.0
METHFth,0.0
PE1819Z1835Z9Z12Zt,0.0
PE1819Z1845Z9Z12Z15Zt,0.0
MG2th,0.0
PE1829Z12Z1835Z9Z12Zt,0.0
PG18111Z160t,0.0
CO2t,-6.943719435806623
D_LACt2,0.0
NA1ATPaseh,0.0
ETOHt,-0.46714491597709157
FE2GTPabc,0.0
FE3t,0.0
FEROt,0.0
PG1819Z160t,0.0
PGP18111Z160t,0.0
PGP1819Z160t,0.0
GLNt,0.0
PIt2r,0.0
FORt2,-12.588629543717392
2PGtm,0.0
TEGAt,0.0
TGUAt,0.0
TSULt,0.0
RIBt,0.0
SELTt,0.0
SO4NA1t,0.0
URATEt_1,0.0
34HPPt2m,0.0
UREAt_1,0.0
ACCOAts,0.0
ACts,0.0
SO4t2,0.0
SUCCt,-2.477306404541148
UDPtg,0.0
COAts,0.0
H2Ots,0.0
3MOPtm,0.0
HDCAts,0.0
Hts,0.0
NADHts,0.0
NADPHts,0.0
NADPts,0.0
NADts,0.0
PMTCOAts,0.0
1ACPCtm,1.9444513205182392
23DHMBtm,0.0
2DHPtm,0.0
RETINALts,0.0
4ABUTtm,0.0
NADPHtf,0.0
NADPtf,0.0
MALICITtm,0.0
4ABUTtmi,0.0
MALOAAtm,0.0
METHFtm,0.0
OAAtf,0.0
FDPtf,0.0
H2Otf,0.0
METtm,0.0
4MOPtm,0.0
MLTHFtm_1,0.0
PItf,0.0
PYRtf,0.0
2PGLYCtx,0.0
NA1ATPasem,0.0
NA1Htm,0.0
3PGtx,0.0
5FTHFtm,0.0
ACCOAtx,0.0
NA1tm,0.0
NADHtm,0.0
NADtm,2.9974488685266106e-16
NH4tm_1,-0.5430165725869648
O2tm,0.0
ASNtx,0.0
ASPtx,0.0
CITx,0.0
CO2tp,0.0
COA_h_tx,0.0
OAAAKGtm,0.0
OAACITtm,-2.8787411524724216
FA160COAabcp_1,0.0
5MTAtm,0.0
FA40COAabcp,0.0
FORtxi,0.0
OAAICITtm,0.0
ORNtm,0.0
ACACtm,0.0
