,fluxes
PE1801835Z9Z12Zt,0.0
PE1801845Z9Z12Z15Zt,0.0
PE18111Z1819Zt,0.0
ALLTNti,0.0
ALLTTti,0.0
MANth,-2.1030626166387645
ARGt5r,0.0
PE18111Z1829Z12Zt,0.0
PE18111Z1835Z9Z12Zt,0.0
PE18111Z1845Z9Z12Z15Zt,0.0
PE1819Z1819Zt,0.0
PE1819Z1829Z12Zt,0.0
CITALt,0.0
METHFth,0.0
PE1819Z1835Z9Z12Zt,0.0
PE1819Z1845Z9Z12Z15Zt,0.0
MG2th,0.14207829982011608
PE1829Z12Z1835Z9Z12Zt,0.0
PG18111Z160t,0.0
CO2t,-60.78308244523745
D_LACt2,0.0
NA1ATPaseh,0.0
ETOHt,-42.20380204643802
FE2GTPabc,0.0
FE3t,0.0
FEROt,0.0
PG1819Z160t,0.0
PGP18111Z160t,0.0
PGP1819Z160t,0.0
GLNt,0.0
PIt2r,6.597766937293543
FORt2,-60.39023971922009
2PGtm,0.0
TEGAt,0.0
TGUAt,0.0
TSULt,0.0
RIBt,0.0
SELTt,0.0
SO4NA1t,5.504591493381624
URATEt_1,0.0
34HPPt2m,0.0
UREAt_1,0.0
ACCOAts,1.3294051433557325e-05
ACts,-1.3294051433557324e-05
SO4t2,-5.25240761753451
SUCCt,0.0
UDPtg,0.0
COAts,-1.3294051433557327e-05
H2Ots,6.647025716778662e-06
3MOPtm,0.0
HDCAts,0.0
Hts,0.0
NADHts,-2.71748748069987e-21
NADPHts,0.0
NADPts,0.0
NADts,2.71748748069987e-21
PMTCOAts,-2.937362045958701e-21
1ACPCtm,1.4488177235877755
23DHMBtm,0.0
2DHPtm,0.0
RETINALts,6.647025716778662e-06
4ABUTtm,0.0
NADPHtf,0.0
NADPtf,0.0
MALICITtm,0.0
4ABUTtmi,0.0
MALOAAtm,-78.7219661145951
METHFtm,0.0
OAAtf,0.0
FDPtf,0.0
H2Otf,0.0
METtm,0.006284248627435281
4MOPtm,0.0
MLTHFtm_1,-0.013960265883587506
PItf,0.0
PYRtf,0.0
2PGLYCtx,0.0
NA1ATPasem,0.0
NA1Htm,0.0
3PGtx,0.0
5FTHFtm,0.0
ACCOAtx,0.0
NA1tm,0.0
NADHtm,20.26791709318189
NADtm,-20.2679170931819
NH4tm_1,1.8439934581450954
O2tm,4.303844309884103
ASNtx,0.0
ASPtx,0.0
CITx,0.0
CO2tp,0.0
COA_h_tx,0.0
OAAAKGtm,-6.370178227710867
OAACITtm,-11.852774461713631
FA160COAabcp_1,0.0
5MTAtm,0.0
FA40COAabcp,0.0
FORtxi,0.0
OAAICITtm,0.0
ORNtm,0.599840637482015
ACACtm,6.889866002897112e-16
GLXtp,0.0
H2Otp,0.0
PHEMEtm,0.0
ACCOAtm,0.0
PIcm,0.0
PINA1tm,0.0
NADH_h_tx,0.0
NADtx,0.0
ACSERtmi,0.0
PIt2m,37.73624946846297
PMTCOAtm,2.3457510267857775
NH4tp,0.0
ACtm,0.0
PNTORtm,0.0
ADNtm,-5.727332987159026e-16
PPAtm,-0.19243553384681425
PPCOAtm,-1.2563821897409615
AKG_na_tm,-9.615264069656298
PRONA1tm,0.0
PROtm_1,0.0
PTRCtmi,0.0
O2tp,0.0
PIt2p,0.0
10FTHFtx,0.0
PYRtm,63.1134847099337
AKGCITtm,0.0
SELTtm,0.0
ACACtx,0.0
SERNA1tm,0.0
AKGICITtm,0.0
BALAtmr,0.0
SERt2m,2.1124516741856225
ACALDtx,0.0
SO4NA1tm,0.0
ALANA1tm,9.6152640696563
SPMDtmi,0.0
SPMDtmr,0.0
ALANA1tx,0.0
ALAtx,0.0
SUCFUMtm,-2.1523609229072114
ALAtm,-9.6152640696563
THFtm_1,0.013960265883587557
ALLTNtm,0.0
