,EXCHERG,BIOMASS,ERG,SS,SS2,SQE,SQE2
Wildtype,-1.3924228083262621e-14,0.05157513686882986,-1.3930724640240427e-14,-1.3930724640240428e-14,0.0,-1.3930724640240427e-14,0.0
SQE+MVA,0.06896551724137943,0.0,0.06896551724137945,0.06896551724137945,0.0,-8.324733053342282e-17,0.06896551724137953
SQE,0.06896551724136198,0.0,0.06896551724136198,0.06896551724136198,0.0,1.2019509510779417e-15,0.06896551724136078
SQS+MVA,2.325129613741115e-09,0.051575133916601935,2.3251296058117297e-09,2.32512960581173e-09,0.0,2.32512960581173e-09,0.0
SQS+SQE+MVA,0.06896551724137767,0.0,0.06896551724137769,0.06896551724137769,0.0,-8.271490416020244e-16,0.06896551724137852
SQS+SQE,0.0689655172413849,0.0,0.06896551724138492,0.06896551724138492,0.0,-3.6074818757436974e-16,0.06896551724138528
SQS,3.1789466128096493e-09,0.05157513283251048,3.178946608429314e-09,3.178946608429314e-09,0.0,3.1789466084293135e-09,0.0
