Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.01200000000000014,1.4568282843348992e-16,0.012000000000000142,0.012000000000000142,0.012000000000000142
SQE_updated,0.008666666666666623,0.0,0.008666666666666625,0.008666666666666625,0.008666666666666625
SQS+MVA_updated,0.0013660000000000247,0.001366,0.0013660000000000252,0.0013660000000000247,0.0013660000000000252
SQS+SQE+MVA_updated,0.012000000000000035,2.601479079169463e-17,0.012000000000000031,0.012000000000000035,0.012000000000000031
SQS+SQE_updated,0.008666666666666663,-1.030603637119662e-16,0.008666666666666673,0.008666666666666673,0.008666666666666673
SQS_updated,0.0013660000000000334,0.001366,0.0013660000000000332,0.001366000000000033,0.0013660000000000332
Wildtype_updated,0.0013659999999999792,0.001366,0.001365999999999979,0.001365999999999979,0.001365999999999979
