Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.007854400000000442,0.001366,0.00785440000000044,0.00785440000000044,0.00785440000000044
SQE_updated,0.007854400000000093,0.001366,0.007854400000000096,0.007854400000000096,0.007854400000000096
SQS+MVA_updated,0.0013660000000000247,0.001366,0.0013660000000000252,0.0013660000000000247,0.0013660000000000252
SQS+SQE+MVA_updated,0.007854399999999992,0.001366,0.00785439999999999,0.00785439999999999,0.00785439999999999
SQS+SQE_updated,0.007854400000000011,0.001366,0.00785440000000002,0.00785440000000002,0.00785440000000002
SQS_updated,0.0013660000000000334,0.001366,0.0013660000000000332,0.001366000000000033,0.0013660000000000332
Wildtype_updated,0.0013659999999999792,0.001366,0.001365999999999979,0.001365999999999979,0.001365999999999979
