,fluxes
ACtr,-83.47140854919135
HISth,0.0
NH4t_1,10.0
NARK,0.0
NO3t,10.0
ILEth,0.0
IMPth,0.0
IPDPth,248.64743690235952
LEUth,0.0
O2t,0.0
LNLCth,0.0
MAL_na_th,-1.515987274335898e-13
ORNt,0.0
MALGLUth,0.0
PAIL18111Z160t,0.0
PAIL1819Z160t,0.0
ADEt,0.0
MALOAAth,0.0
ADtr,0.0
PE1801819Zt,0.0
PE1801829Z12Zt,0.0
PE1801835Z9Z12Zt,0.0
PE1801845Z9Z12Z15Zt,0.0
PE18111Z1819Zt,0.0
ALLTNti,0.0
ALLTTti,0.0
MANth,-211.9816467227872
ARGt5r,0.0
PE18111Z1829Z12Zt,0.0
PE18111Z1835Z9Z12Zt,0.0
PE18111Z1845Z9Z12Z15Zt,0.0
PE1819Z1819Zt,0.0
PE1819Z1829Z12Zt,0.0
CITALt,0.0
METHFth,0.0
PE1819Z1835Z9Z12Zt,0.0
PE1819Z1845Z9Z12Z15Zt,0.0
MG2th,0.0
PE1829Z12Z1835Z9Z12Zt,0.0
PG18111Z160t,0.0
CO2t,0.0
D_LACt2,0.0
NA1ATPaseh,166.32982171272636
ETOHt,5.810598267592532e-13
FE2GTPabc,0.0
FE3t,0.0
FEROt,0.0
PG1819Z160t,0.0
PGP18111Z160t,0.0
PGP1819Z160t,0.0
GLNt,0.0
PIt2r,0.0
FORt2,-835.6263527066233
2PGtm,-276.8484464646058
TEGAt,0.0
TGUAt,0.0
TSULt,0.0
RIBt,0.0
SELTt,0.0
SO4NA1t,10.0
URATEt_1,0.0
34HPPt2m,0.0
UREAt_1,0.0
ACCOAts,0.0
ACts,0.0
SO4t2,-10.0
SUCCt,0.0
UDPtg,0.0
COAts,0.0
H2Ots,0.0
3MOPtm,0.0
HDCAts,0.0
Hts,0.0
NADHts,254.05768929292145
NADPHts,-254.05768929292145
NADPts,254.05768929292145
NADts,-254.05768929292145
PMTCOAts,0.0
1ACPCtm,0.0
23DHMBtm,-303.4446939072609
2DHPtm,0.0
RETINALts,0.0
4ABUTtm,-108.52540599596739
NADPHtf,0.0
NADPtf,0.0
MALICITtm,0.0
4ABUTtmi,108.52540599596801
MALOAAtm,0.0
METHFtm,0.0
OAAtf,0.0
FDPtf,0.0
H2Otf,0.0
METtm,-4.278537386957364e-29
4MOPtm,303.4446939072608
MLTHFtm_1,0.0
PItf,0.0
PYRtf,0.0
2PGLYCtx,0.0
NA1ATPasem,0.0
NA1Htm,4.29020021987999e-13
3PGtx,0.0
5FTHFtm,0.0
ACCOAtx,0.0
NA1tm,0.0
NADHtm,0.0
NADtm,3.875101897231202e-12
NH4tm_1,7.118476678778301e-13
O2tm,420.27266969690595
ASNtx,0.0
ASPtx,0.0
CITx,0.0
CO2tp,0.0
COA_h_tx,0.0
OAAAKGtm,0.0
