biomass,erg,co2,variant,CO2_cap,ERG_per_CO2
-6.423762654831332e-29,0.14038659327644842,-7.019329663822263,Wildtype,10.0,0.02000000000000045
0.003268895717517325,0.13792361922111468,-7.021509046892594,Wildtype,10.0,0.01964301666493665
0.00653779143503465,0.13546065011091013,-7.023688337254192,Wildtype,10.0,0.019286255825506415
0.009806687152551976,0.13299767111040853,-7.025867813030904,Wildtype,10.0,0.01892971439965569
0.0130755828700693,0.13045592444553594,-7.024108565624055,Wildtype,10.0,0.018572595116764914
0.016344478587586624,0.1273556198426348,-6.994421421315941,Wildtype,10.0,0.018208170793728627
0.019613374305103952,0.12425531523973449,-6.964734277007623,Wildtype,10.0,0.0178406397570591
0.022882270022621276,0.12115501063682804,-6.935047132699467,Wildtype,10.0,0.01746996210964012
0.0261511657401386,0.11805470603392353,-6.905359988391015,Wildtype,10.0,0.017096097268265793
0.029420061457655924,0.11495440143101086,-6.875672844082272,Wildtype,10.0,0.016719003948820716
0.03268895717517325,0.11180910749964788,-6.846728023696909,Wildtype,10.0,0.016330297787887922
0.03595785289269057,0.1086576893924178,-6.817884252206935,Wildtype,10.0,0.015937156656369685
0.039226748610207904,0.10550627128524379,-6.789040480719654,Wildtype,10.0,0.015540674942927999
0.04249564432772523,0.10235484103638244,-6.760196952060751,Wildtype,10.0,0.015140807547800957
0.04576454004524255,0.09920342199528641,-6.731353199254891,Wildtype,10.0,0.014737515482959275
0.049033435762759876,0.09605200295413577,-6.702509446447002,Wildtype,10.0,0.014330752343072474
0.0523023314802772,0.0929005839129802,-6.673665693638142,Wildtype,10.0,0.013920473121921625
0.055571227197794525,0.08974916487188009,-6.644821940833022,Wildtype,10.0,0.013506632031832711
0.05884012291531185,0.08659774583067724,-6.615978188021893,Wildtype,10.0,0.013089182486644358
0.06210901863282917,0.08344632678952965,-6.58713572439434,Wildtype,10.0,0.012668074604945566
0.0653779143503465,0.08029490774838012,-6.558292039437659,Wildtype,10.0,0.012243265055220841
0.06864681006786383,0.07714348870722573,-6.529448354480936,Wildtype,10.0,0.011814702333051583
0.07191570578538115,0.07399206966607193,-6.50060466952418,Wildtype,10.0,0.011382336479090625
0.07518460150289848,0.0708406506249172,-6.471777750733753,Wildtype,10.0,0.010946088285693292
0.07845349722041581,0.0669256009989259,-6.4047532654982255,Wildtype,10.0,0.010449364436792206
0.08172239293793312,0.06274275089232512,-6.32433875623304,Wildtype,10.0,0.009920839681537952
0.08499128865545046,0.05855990078572877,-6.243924246968202,Wildtype,10.0,0.009378701353425788
0.08826018437296777,0.05437705067913491,-6.163509737703254,Wildtype,10.0,0.00882241660891701
0.0915290800904851,0.05019420057253712,-6.083095228437855,Wildtype,10.0,0.008251424429110416
0.09479797580800242,0.04601135046594468,-6.002680719173149,Wildtype,10.0,0.007665133732497204
0.09806687152551975,0.04182850035934205,-5.9222662099080425,Wildtype,10.0,0.007062921333958666
0.10133576724303707,0.037645650252747145,-5.841851700642841,Wildtype,10.0,0.0064441297352010145
0.1046046629605544,0.03346280014615183,-5.7614371913775715,Wildtype,10.0,0.005808064730139114
0.10787355867807173,0.02927995003955589,-5.681022682112494,Wildtype,10.0,0.005153992806919776
0.11114245439558905,0.025097099932954454,-5.600608172846951,Wildtype,10.0,0.004481138326125192
0.11441135011310638,0.02091424982634295,-5.520193663582839,Wildtype,10.0,0.0037886804523391874
0.1176802458306237,0.016731399719765453,-5.439779154317161,Wildtype,10.0,0.0030757498135722925
0.12094914154814103,0.012548549613176013,-5.359364645053294,Wildtype,10.0,0.0023414248598960987
0.12421803726565835,0.00836569950657984,-5.278950135786253,Wildtype,10.0,0.0015847278893332153
0.12748693298317568,0.004182849399982292,-5.198535626521822,Wildtype,10.0,0.0008046207048466274
0.130755828700693,-1.6307494488850802e-15,-5.118121152587137,Wildtype,10.0,-3.186226742719366e-16
0.0,0.2031563770186132,-5.891534933539848,SQS+SQE+MVA,10.0,0.03448275862068927
0.003269349177768675,0.1997752624443698,-5.918797392818006,SQS+SQE+MVA,10.0,0.03375267798265596
0.00653869835553735,0.19639414787012702,-5.9460598520962105,SQS+SQE+MVA,10.0,0.03302929212878519
0.009808047533306025,0.19301303329592565,-5.973322311375665,SQS+SQE+MVA,10.0,0.032312509393365454
0.0130773967110747,0.18955486272570055,-5.998350408318349,SQS+SQE+MVA,10.0,0.03160116529084914
0.016346745888843377,0.18608969440613596,-6.023175047434193,SQS+SQE+MVA,10.0,0.03089561451238382
0.01961609506661205,0.18262451007749622,-6.047999876157203,SQS+SQE+MVA,10.0,0.030195852152287535
0.022885444244380725,0.17915933375339432,-6.072824610076224,SQS+SQE+MVA,10.0,0.029501812625401275
0.0261547934221494,0.17569415742928018,-6.097649343995226,SQS+SQE+MVA,10.0,0.02881342424229401
0.029424142599918077,0.1722289955133703,-6.122473907269114,SQS+SQE+MVA,10.0,0.028130621399445343
0.03269349177768675,0.16870225991595011,-6.148509862370299,SQS+SQE+MVA,10.0,0.02743790994764934
0.035962840955455426,0.16516724470833014,-6.174708722830409,SQS+SQE+MVA,10.0,0.02674899369708561
0.0392321901332241,0.16163222950067357,-6.200907583289049,SQS+SQE+MVA,10.0,0.02606589879459896
0.04250153931099278,0.15793396295650872,-6.222373005020323,SQS+SQE+MVA,10.0,0.02538162897484364
0.04577088848876145,0.15407533187002392,-6.239187070379698,SQS+SQE+MVA,10.0,0.024694776760499883
0.04904023766653013,0.150216700783536,-6.256001135739234,SQS+SQE+MVA,10.0,0.02401161661007048
