variant,bmax,erg_at_b0,yield_at_b0
SQS+SQE,0.13077396711075945,0.2031563770186161,0.03448275862069012
SQS+SQE+MVA,0.130773967110747,0.2031563770186132,0.03448275862068927
SQE+MVA,0.13077396711077083,0.20315637701861305,0.03448275862068921
SQE,0.13077396711074327,0.20315637701861244,0.03448275862069033
SQS+MVA,0.13075582814847436,0.14038659327648148,0.020000000000004015
SQS,0.13075582814847353,0.1403865932764674,0.020000000000000153
Wildtype,0.130755828700693,0.14038659327644842,0.02000000000000045
