Model,SS,SMO,ERG5,ERG3,ERG
SQE+MVA_updated,0.06896551724137871,-2.0811832633355703e-16,0.06896551724137874,0.06896551724137874,0.06896551724137874
SQE_updated,0.0023233333333333326,-1.4059444355564784e-17,0.002323333333333333,0.002323333333333333,0.002323333333333333
SQS+MVA_updated,0.001366,0.001366,0.0013659999999999998,0.0013659999999999998,0.0013659999999999998
SQS+SQE+MVA_updated,0.06896551724137918,-5.827313137339597e-16,0.06896551724137917,0.06896551724137917,0.06896551724137917
SQS+SQE_updated,0.0023233333333333318,-4.672906795958147e-16,0.0023233333333333318,0.0023233333333333318,0.0023233333333333318
SQS_updated,0.001366,0.001366,0.0013659999999999998,0.0013659999999999998,0.0013659999999999998
Wildtype_updated,0.001366,0.001366,0.0013659999999999998,0.0013659999999999998,0.0013659999999999998
